location,event_stage,teamH,scoreTH,teamA,scoreTA,event_status,time,event_url,discipline_code,teamH_code,teamA_code,sex
National Aquatics Centre - Sheet C,Women's Round Robin Session 11,ROC,SWESweden,,,,2022-02-16T20:05:00+08:00,../../../en/results/curling/results-women-prel-001103-.htm,CUR,ROC,,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 11,Canada,CHNPeople's Republic of China,,,,2022-02-16T20:05:00+08:00,../../../en/results/curling/results-women-prel-001104-.htm,CUR,CAN,,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 12,Denmark,USAUnited States of America,,,,2022-02-17T09:05:00+08:00,../../../en/results/curling/results-men-prel-001201-.htm,CUR,DEN,,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 12,Sweden,SUISwitzerland,,,,2022-02-17T09:05:00+08:00,../../../en/results/curling/results-men-prel-001202-.htm,CUR,SWE,,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 12,Canada,GBRGreat Britain,,,,2022-02-17T09:05:00+08:00,../../../en/results/curling/results-men-prel-001203-.htm,CUR,CAN,,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 12,Norway,ITAItaly,,,,2022-02-17T09:05:00+08:00,../../../en/results/curling/results-men-prel-001204-.htm,CUR,NOR,,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 12,Japan,SUISwitzerland,,,,2022-02-17T14:05:00+08:00,../../../en/results/curling/results-women-prel-001201-.htm,CUR,JPN,,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 12,ROC,GBRGreat Britain,,,,2022-02-17T14:05:00+08:00,../../../en/results/curling/results-women-prel-001202-.htm,CUR,ROC,,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 12,Denmark,CANCanada,,,,2022-02-17T14:05:00+08:00,../../../en/results/curling/results-women-prel-001203-.htm,CUR,DEN,,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 12,Republic of Korea,SWESweden,,,,2022-02-17T14:05:00+08:00,../../../en/results/curling/results-women-prel-001204-.htm,CUR,KOR,,Women's
National Aquatics Centre - Sheet A,Men's Semi-final,,,,,,2022-02-17T20:05:00+08:00,../../../en/results/curling/results-men-sfnl-000102-.htm,CUR,,,Men's
National Aquatics Centre - Sheet C,Men's Semi-final,,,,,,2022-02-17T20:05:00+08:00,../../../en/results/curling/results-men-sfnl-000101-.htm,CUR,,,Men's
National Aquatics Centre - Sheet B,Men's Bronze Medal Game,,,,,,2022-02-18T14:05:00+08:00,../../../en/results/curling/results-men-fnl-000201-.htm,CUR,LSF,,Men's
National Aquatics Centre - Sheet A,Women's Semi-final,,,,,,2022-02-18T20:05:00+08:00,../../../en/results/curling/results-women-sfnl-000102-.htm,CUR,,,Women's
National Aquatics Centre - Sheet C,Women's Semi-final,,,,,,2022-02-18T20:05:00+08:00,../../../en/results/curling/results-women-sfnl-000101-.htm,CUR,,,Women's
National Aquatics Centre - Sheet B,Men's Gold Medal Game,,,,,,2022-02-19T14:05:00+08:00,../../../en/results/curling/results-men-fnl-000101-.htm,CUR,WSF,,Men's
National Aquatics Centre - Sheet B,Women's Bronze Medal Game,,,,,,2022-02-19T20:05:00+08:00,../../../en/results/curling/results-women-fnl-000201-.htm,CUR,LSF,,Women's
National Aquatics Centre - Sheet B,Women's Gold Medal Game,,,,,,2022-02-20T09:05:00+08:00,../../../en/results/curling/results-women-fnl-000101-.htm,CUR,WSF,,Women's
